#{"t_start": 1773065962.3345978, "env_id": "None"}
r,l,t
-80.540174,400,0.634435
-74.486043,400,0.649614
-72.712304,400,0.658423
-78.716061,400,0.667811
-73.630158,400,0.680634
-66.007113,400,0.806579
-64.910854,400,0.869361
-77.942981,400,0.930888
-57.211099,400,0.995407
-62.369298,400,1.0569
-51.963088,400,1.118435
-57.557584,400,1.186032
-59.641841,400,1.249756
-56.826205,400,1.314479
-49.213111,400,1.376936
-58.013568,400,1.43992
-50.501145,400,1.504876
-49.021775,400,1.568617
-47.623277,400,1.631997
-55.469602,400,1.695171
-50.27282,400,1.761187
-51.834152,400,1.825023
-54.868089,400,1.888847
-42.285404,400,1.953672
-47.623097,400,2.019038
-49.446524,400,2.083489
-43.600247,400,2.147966
-57.123245,400,2.212645
-40.71278,400,2.27933
-43.864988,400,2.344655
-43.046897,400,2.41053
-42.289659,400,2.47603
-37.015552,400,2.543556
-42.037739,400,2.608591
-38.071237,400,2.675259
-39.303509,400,2.74178
-40.882269,400,2.809837
-44.621264,400,2.87598
-35.756653,400,2.943658
-35.777693,400,3.010401
-34.46761,400,3.079944
-41.396866,400,3.147376
-37.390934,400,3.214634
-33.913932,400,3.283549
-33.164515,400,3.354023
-32.125042,400,3.422718
-32.649252,400,3.491687
-31.319822,400,3.561052
-37.47062,400,3.631581
-31.803218,400,3.700941
-33.779002,400,3.770992
-35.915072,400,3.84306
-34.999088,400,3.914893
-35.33655,400,3.984934
-31.57121,400,4.055107
-31.894226,400,4.12483
-31.818364,400,4.196149
-33.004995,400,4.266568
-33.073552,400,4.338016
-30.913195,400,4.407734
-35.280839,400,4.480433
-32.97838,400,4.551882
-34.438878,400,4.624361
-31.916848,400,4.695862
-31.993685,400,4.769343
-30.201605,400,4.841886
-28.864207,400,4.913362
-30.055675,400,4.98572
-28.306715,400,5.059196
-30.12304,400,5.131044
-27.542407,400,5.204691
-29.294603,400,5.277185
-28.508335,400,5.350539
-28.150768,400,5.42446
-29.328897,400,5.498463
-28.382168,400,5.572601
-28.871949,400,5.647882
-29.721629,400,5.721013
