#{"t_start": 1773066004.011172, "env_id": "None"}
r,l,t
-66.572518,400,0.683475
-56.657887,400,0.825364
-56.346123,400,0.949334
-46.143523,400,1.073404
-45.121909,400,1.12153
-37.911265,400,1.249609
-39.95415,400,1.374109
-35.907238,400,1.498598
-39.489326,400,1.623932
-41.517513,400,1.671248
-40.686757,400,1.795498
-40.678409,400,1.918408
-48.551443,400,2.041352
-48.918854,400,2.088454
-51.265756,400,2.213371
-44.517138,400,2.337153
-48.844339,400,2.459536
-46.408997,400,2.583372
-51.235915,400,2.62946
-50.552911,400,2.751451
-47.524057,400,2.874511
-48.823711,400,2.997003
-48.375264,400,3.043886
-45.522231,400,3.165899
-35.398852,400,3.288647
-38.633964,400,3.411526
-38.378505,400,3.535251
-35.07101,400,3.582751
-35.058303,400,3.705749
-33.784921,400,3.829913
-30.789104,400,3.953009
-32.87682,400,3.999855
-33.994057,400,4.12273
-37.70297,400,4.245161
-38.393649,400,4.367505
-40.476928,400,4.489676
-44.657773,400,4.53702
-50.540855,400,4.664433
-49.590674,400,4.788723
-50.543732,400,4.911865
-55.085424,400,5.034444
-54.985522,400,5.081373
-52.43645,400,5.204219
-51.417738,400,5.327743
-43.235471,400,5.450497
-45.100986,400,5.496694
-47.300271,400,5.618728
-50.015669,400,5.741456
-39.914439,400,5.863524
-39.820397,400,5.985042
-36.425564,400,6.032121
-41.979339,400,6.154642
-38.007074,400,6.276793
-34.228402,400,6.399021
-36.611481,400,6.44576
-38.17623,400,6.567904
-43.070222,400,6.689564
-47.15469,400,6.811242
-49.098382,400,6.933064
-46.638541,400,6.979155
-35.718684,400,7.101347
-44.257906,400,7.226484
-44.852768,400,7.349869
-43.525518,400,7.396601
-38.562411,400,7.519533
-32.652279,400,7.642513
-33.414574,400,7.765001
-30.05642,400,7.887595
-31.874406,400,7.934782
-30.254028,400,8.057116
-33.189311,400,8.179573
-33.308349,400,8.301799
-33.849302,400,8.443124
-39.233807,400,8.489837
-42.536022,400,8.613136
-38.938397,400,8.737519
-40.902444,400,8.861089
-39.804987,400,8.908474
-39.517878,400,9.03155
-40.488675,400,9.157881
-40.070168,400,9.281229
-37.517686,400,9.404454
-34.595197,400,9.451246
-34.102554,400,9.573248
-36.030955,400,9.697391
-33.29098,400,9.820945
-32.583494,400,9.867423
-31.347329,400,9.990305
-34.326506,400,10.113315
-34.980947,400,10.236048
-36.926711,400,10.357857
-40.918427,400,10.404022
-43.803327,400,10.526752
-41.389883,400,10.649165
-39.615921,400,10.771477
-34.443584,400,10.818536
-33.564107,400,10.940276
-34.414531,400,11.062266
-32.503726,400,11.184688
-31.473731,400,11.30754
-29.650035,400,11.353794
-33.504384,400,11.476209
-31.192517,400,11.598568
-28.789493,400,11.720559
-31.856974,400,11.842198
-28.721563,400,11.889117
-28.707507,400,12.011005
-27.735606,400,12.132988
-29.709885,400,12.258827
-28.624932,400,12.305151
-31.749879,400,12.426592
-32.773114,400,12.548372
-36.289263,400,12.670894
-37.364684,400,12.792734
-32.474255,400,12.840182
-38.809525,400,12.962152
-36.328014,400,13.083963
-32.658997,400,13.205636
-32.015706,400,13.251933
-30.051298,400,13.374763
-28.064413,400,13.498961
-27.438627,400,13.621347
-26.855672,400,13.742816
-26.106842,400,13.789258
-26.78972,400,13.911642
-26.496657,400,14.034219
-26.940211,400,14.155881
-26.311347,400,14.201769
-26.828652,400,14.323209
-27.788684,400,14.445393
